FileName,Vertices,MaxFlow,TimeInSecsPrePush,TimeInSecsScale,TimeInSecsFordalt,TimeInSecsFordFulkerson
TestFiles2/Mesh-rowcol-40-20.txt,802,2000,0.002,0.006,0.009,0.045
TestFiles2/Mesh-rowcol-5-4.txt,22,250,0.000,0.000,0.000,0.000
TestFiles2/Mesh-rowcol-50-30.txt,1502,2500,0.004,0.014,0.020,0.208
TestFiles2/Mesh-rowcol-50-50.txt,2502,2500,0.006,0.028,0.038,0.631
TestFiles2/Mesh-rowcol-60-50.txt,3002,3000,0.007,0.041,0.060,1.102
TestFiles2/Mesh-rowcol-70-50.txt,3502,3500,0.008,0.053,0.091,1.728
TestFiles2/Mesh-rowcol-80-50.txt,4002,4000,0.010,0.119,0.102,2.461
TestFiles2/Mesh-rowcol-80-80.txt,6402,4000,0.016,0.196,0.256,6.694
TestFiles2/Random-cap-1-100.txt,101,1439,0.009,0.006,0.006,0.006
TestFiles2/Random-cap-1-50.txt,101,531,0.002,0.004,0.005,0.006
TestFiles2/Random-cap-100-1000.txt,101,16542,0.002,0.004,0.006,0.007
TestFiles2/Random-cap-100-2000.txt,101,26331,0.014,0.007,0.005,0.006
TestFiles2/Random-cap-1000-5000.txt,101,84235,0.002,0.004,0.005,0.006
TestFiles2/Random-cap-1000-8000.txt,101,107116,0.002,0.004,0.006,0.006
TestFiles2/Random-cap-50-100.txt,101,1994,0.002,0.004,0.005,0.006
TestFiles2/Random-cap-50-150.txt,101,2954,0.010,0.007,0.006,0.006
TestFiles2/Random-cap-5000-10000.txt,101,207151,0.008,0.007,0.006,0.009
TestFiles2/Random-cap-5000-20000.txt,101,406858,0.007,0.008,0.006,0.006
TestFiles2/Random-Edges-10.txt,101,204,0.003,0.002,0.002,0.002
TestFiles2/Random-Edges-100.txt,101,2261,0.007,0.074,0.029,0.013
TestFiles2/Random-Edges-20.txt,101,427,0.001,0.003,0.005,0.008
TestFiles2/Random-Edges-30.txt,101,714,0.004,0.007,0.006,0.009
TestFiles2/Random-Edges-40.txt,101,1116,0.003,0.007,0.015,0.011
TestFiles2/Random-Edges-50.txt,101,1169,0.004,0.010,0.012,0.011
TestFiles2/Random-Edges-60.txt,101,1640,0.012,0.025,0.016,0.014
TestFiles2/Random-Edges-70.txt,101,1787,0.024,0.040,0.020,0.015
TestFiles2/Random-Edges-80.txt,101,1860,0.021,0.060,0.023,0.017
TestFiles2/Random-Edges-90.txt,101,2193,0.006,0.082,0.028,0.015
TestFiles2/Random-Nodes-100.txt,101,630,0.002,0.004,0.005,0.006
TestFiles2/Random-Nodes-120.txt,121,925,0.003,0.007,0.010,0.011
TestFiles2/Random-Nodes-140.txt,141,1006,0.004,0.009,0.021,0.015
TestFiles2/Random-Nodes-160.txt,161,1484,0.005,0.016,0.021,0.025
TestFiles2/Random-Nodes-180.txt,181,1060,0.067,0.043,0.024,0.029
TestFiles2/Random-Nodes-20.txt,21,101,0.000,0.000,0.000,0.001
TestFiles2/Random-Nodes-200.txt,201,1329,0.008,0.033,0.046,0.037
TestFiles2/Random-Nodes-40.txt,41,311,0.001,0.001,0.001,0.001
TestFiles2/Random-Nodes-60.txt,61,404,0.001,0.001,0.002,0.002
TestFiles2/Random-Nodes-80.txt,81,500,0.005,0.003,0.003,0.003
